profile,N,comparison,runs,median_ratio,ratio_ci_low,ratio_ci_high,median_difference_ms,sign_test_p,holm_p
R,1000,B0/C1,30,2.438408951714017,1.4506906571423226,2.8668127081085184,0.06826939999998574,8.67992639541626e-07,6.943941116333008e-06
R,1000,B1/C1,30,1.0082241297786463,0.5595268576701098,1.0838532787775996,0.0007635250000006116,0.855535551905632,0.855535551905632
R,10000,B0/C1,30,6.89829328292652,6.325352585038757,7.9445214729732765,3.8050087999998077,1.862645149230957e-09,3.3527612686157227e-08
R,10000,B1/C1,30,1.1265580335119494,0.9422346417693017,1.3708818268066219,0.06212449999970884,0.20048842206597328,0.6014652661979198
R,50000,B0/C1,30,7.08621410280215,6.3605353744857265,7.938409248856544,14.923749924996986,1.862645149230957e-09,3.3527612686157227e-08
R,50000,B1/C1,30,3.400293439404929,2.562121972154732,3.7429911023660085,4.234568325000236,1.862645149230957e-09,3.3527612686157227e-08
A,1000,B0/C1,30,2.798871694482173,2.7341162279594835,2.9058805090978845,0.04744600000267382,1.862645149230957e-09,3.3527612686157227e-08
A,1000,B1/C1,30,1.0798156880009298,1.0404795924133585,1.1059551983797125,0.002149550001013266,8.430331945419312e-06,5.058199167251587e-05
A,10000,B0/C1,30,5.62448777880487,5.246080613056397,6.367665094183639,1.277629774999513,1.862645149230957e-09,3.3527612686157227e-08
A,10000,B1/C1,30,1.1139329751427662,1.0438425211064013,1.1852988345065247,0.02968652500239831,0.00032491423189640045,0.0016245711594820023
A,50000,B0/C1,30,7.052843374987586,6.453044421772205,7.443742213385829,9.1382527000007,1.862645149230957e-09,3.3527612686157227e-08
A,50000,B1/C1,30,3.7352668504267745,3.4016439040218476,4.222243259467742,4.056757400001333,1.862645149230957e-09,3.3527612686157227e-08
B,1000,B0/C1,30,2.6149737646334694,2.1406428780162625,3.558153019870785,0.12720064999775782,8.67992639541626e-07,6.943941116333008e-06
B,1000,B1/C1,30,1.2257407732663723,0.9268256809891675,1.6950225688482465,0.01916729999720697,0.20048842206597328,0.6014652661979198
B,10000,B0/C1,30,6.2117691972599,5.703551981112849,7.2386955052288275,2.283508349996552,1.862645149230957e-09,3.3527612686157227e-08
B,10000,B1/C1,30,1.1055572833692748,1.0252990318683346,1.187927064840375,0.03787922500268895,0.016124801710247993,0.06449920684099197
B,50000,B0/C1,30,8.31572384995238,7.026051083501476,9.289288460508116,12.697553124999466,1.862645149230957e-09,3.3527612686157227e-08
B,50000,B1/C1,30,3.409088480279423,2.4552016876916665,3.866506241338614,3.8056331499934455,1.862645149230957e-09,3.3527612686157227e-08
