N,accuracy_ci_high,accuracy_ci_low,accuracy_median,alerted_ci_high,alerted_ci_low,alerted_median,bytesReturned_ci_high,bytesReturned_ci_low,bytesReturned_median,changeRatio_ci_high,changeRatio_ci_low,changeRatio_median,configuration,different_ci_high,different_ci_low,different_median,driftScore_ci_high,driftScore_ci_low,driftScore_median,durationMs_ci_high,durationMs_ci_low,durationMs_median,executed_ci_high,executed_ci_low,executed_median,executionOrder_ci_high,executionOrder_ci_low,executionOrder_median,expected_ci_high,expected_ci_low,expected_median,experiment,f1At10_ci_high,f1At10_ci_low,f1At10_median,highRiskWithoutConfirmation_ci_high,highRiskWithoutConfirmation_ci_low,highRiskWithoutConfirmation_median,injectionsFollowed_ci_high,injectionsFollowed_ci_low,injectionsFollowed_median,logicalWrites_ci_high,logicalWrites_ci_low,logicalWrites_median,observed_ci_high,observed_ci_low,observed_median,p50Ms_ci_high,p50Ms_ci_low,p50Ms_median,p95Ms_ci_high,p95Ms_ci_low,p95Ms_median,p99Ms_ci_high,p99Ms_ci_low,p99Ms_median,physicalWrites_ci_high,physicalWrites_ci_low,physicalWrites_median,precisionAt10_ci_high,precisionAt10_ci_low,precisionAt10_median,processed_ci_high,processed_ci_low,processed_median,profile,queries_ci_high,queries_ci_low,queries_median,recallAt10_ci_high,recallAt10_ci_low,recallAt10_median,requests_ci_high,requests_ci_low,requests_median,resultCount_ci_high,resultCount_ci_low,resultCount_median,rowsExaminedProxy_ci_high,rowsExaminedProxy_ci_low,rowsExaminedProxy_median,runs,scopeViolations_ci_high,scopeViolations_ci_low,scopeViolations_median,threshold_ci_high,threshold_ci_low,threshold_median,unsupportedClaims_ci_high,unsupportedClaims_ci_low,unsupportedClaims_median
,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,AI-AGENT,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,,,,,,,30,,,,,,,,,
,,,,1.0,1.0,1.0,,,,,,,,,,,0.2625,0.244,0.258,,,,,,,,,,,,,AI-DRIFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,0.1,0.1,0.1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI-RAG,1.0,1.0,1.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,100.0,100.0,100.0,1.0,1.0,1.0,,,,,,,,,,30,0.0,0.0,0.0,,,,0.0,0.0,0.0
1000,,,,,,,1629.5,1467.0,1538.5,,,,B0,,,,,,,,,,,,,1.5,0.5,1.0,,,,SQL-P1,,,,,,,,,,,,,,,,0.07166649999999208,0.06968749999941792,0.07114550000005693,0.07522534999916389,0.07266874999768333,0.07360640000024432,0.07688481999775831,0.07429842500194354,0.07561361000032776,,,,,,,,,,A,,,,,,,,,,35.5,32.0,33.5,1000.0,1000.0,1000.0,30,,,,,,,,,
1000,,,,,,,1629.5,1467.0,1538.5,,,,B1,,,,,,,,,,,,,1.5,0.5,1.0,,,,SQL-P1,,,,,,,,,,,,,,,,0.02685399999973015,0.024343500001123175,0.026082999998834566,0.030550875000517404,0.027724000000125665,0.029148250001162522,0.03393862499749958,0.030099889998818984,0.03230509000193706,,,,,,,,,,A,,,,,,,,,,35.5,32.0,33.5,35.5,32.0,33.5,30,,,,,,,,,
1000,,,,,,,1629.5,1467.0,1538.5,,,,C1,,,,,,,,,,,,,1.5,0.5,1.0,,,,SQL-P1,,,,,,,,,,,,,,,,0.025437500000407454,0.02311474999987695,0.024510500001269975,0.02773952499792358,0.025951150002947537,0.026487850000194157,0.03067651999957889,0.02792096500106709,0.028745714999677152,,,,,,,,,,A,,,,,,,,,,35.5,32.0,33.5,35.5,32.0,33.5,30,,,,,,,,,
10000,,,,,,,15619.0,15146.0,15513.0,,,,B0,,,,,,,,,,,,,1.5,0.5,1.0,,,,SQL-P1,,,,,,,,,,,,,,,,1.3588957500014658,1.1459792499990726,1.3149582500027464,1.7034102000003246,1.4089562499995736,1.535344549998444,3.546591784999946,1.57817914499803,1.7869975349971718,,,,,,,,,,A,,,,,,,,,,340.5,330.0,338.0,10000.0,10000.0,10000.0,30,,,,,,,,,
10000,,,,,,,15619.0,15146.0,15513.0,,,,B1,,,,,,,,,,,,,1.5,0.5,1.0,,,,SQL-P1,,,,,,,,,,,,,,,,0.28178124999976717,0.2521355000026233,0.2655414999990171,0.3121738499979982,0.2759362749973661,0.2943549499981599,0.39010265999833804,0.31753834000141073,0.37113996500094804,,,,,,,,,,A,,,,,,,,,,340.5,330.0,338.0,340.5,330.0,338.0,30,,,,,,,,,
10000,,,,,,,15619.0,15146.0,15513.0,,,,C1,,,,,,,,,,,,,1.5,0.5,1.0,,,,SQL-P1,,,,,,,,,,,,,,,,0.26032300000224495,0.23040649999893503,0.2436877500022092,0.2849463500038837,0.24086352499889468,0.26942587500016085,0.3208925400023145,0.2681865499995547,0.3007445549994009,,,,,,,,,,A,,,,,,,,,,340.5,330.0,338.0,340.5,330.0,338.0,30,,,,,,,,,
50000,,,,,,,77941.0,76235.5,77048.5,,,,B0,,,,,,,,,,,,,1.5,0.5,1.0,,,,SQL-P1,,,,,,,,,,,,,,,,7.220624749999843,6.422281249995649,6.781052250000357,11.329505300001252,9.779148850002093,10.504348625002601,12.229313180000755,10.37182967999852,11.122140570000557,,,,,,,,,,A,,,,,,,,,,1698.5,1661.0,1678.5,50000.0,50000.0,50000.0,30,,,,,,,,,
