N,acceptedRows_ci_high,acceptedRows_ci_low,acceptedRows_median,accuracy_ci_high,accuracy_ci_low,accuracy_median,activeAfter_ci_high,activeAfter_ci_low,activeAfter_median,activeBefore_ci_high,activeBefore_ci_low,activeBefore_median,bytesReturned_ci_high,bytesReturned_ci_low,bytesReturned_median,changeRatio_ci_high,changeRatio_ci_low,changeRatio_median,configuration,detected_ci_high,detected_ci_low,detected_median,different_ci_high,different_ci_low,different_median,duplicatesSuppressed_ci_high,duplicatesSuppressed_ci_low,duplicatesSuppressed_median,duplicates_ci_high,duplicates_ci_low,duplicates_median,durationMs_ci_high,durationMs_ci_low,durationMs_median,effects_ci_high,effects_ci_low,effects_median,executionOrder_ci_high,executionOrder_ci_low,executionOrder_median,expected_ci_high,expected_ci_low,expected_median,experiment,firstAccepted_ci_high,firstAccepted_ci_low,firstAccepted_median,inputRows_ci_high,inputRows_ci_low,inputRows_median,logicalWrites_ci_high,logicalWrites_ci_low,logicalWrites_median,missingScopeRejected_ci_high,missingScopeRejected_ci_low,missingScopeRejected_median,observed_ci_high,observed_ci_low,observed_median,p50Ms_ci_high,p50Ms_ci_low,p50Ms_median,p95Ms_ci_high,p95Ms_ci_low,p95Ms_median,p99Ms_ci_high,p99Ms_ci_low,p99Ms_median,physicalWrites_ci_high,physicalWrites_ci_low,physicalWrites_median,processed_ci_high,processed_ci_low,processed_median,profile,quarantined_ci_high,quarantined_ci_low,quarantined_median,recoveredAccuracy_ci_high,recoveredAccuracy_ci_low,recoveredAccuracy_median,repaired_ci_high,repaired_ci_low,repaired_median,resultCount_ci_high,resultCount_ci_low,resultCount_median,rowsExaminedProxy_ci_high,rowsExaminedProxy_ci_low,rowsExaminedProxy_median,runs,staleAccepted_ci_high,staleAccepted_ci_low,staleAccepted_median,visibleLoss_ci_high,visibleLoss_ci_low,visibleLoss_median
10000,9805.0,9789.5,9799.0,,,,,,,,,,,,,,,,SEMIRREALISTA,,,,,,,,,,309.0,296.0,303.5,,,,,,,,,,,,,PG-DQ1,,,,10309.0,10296.0,10303.5,,,,,,,,,,,,,,,,,,,,,,,,,R,219.0,200.5,209.5,,,,1215.0,1183.5,1203.0,,,,,,,30,,,,,,
,,,,,,,,,,,,,,,,,,,IDEMPOTENCIA,,,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,PG-F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,
,,,,,,,983.0,979.0,980.5,983.0,979.0,980.5,,,,,,,INTERRUPCION,,,,,,,,,,,,,,,,,,,,,,,,,PG-F2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,REVISION,,,,,,,,,,,,,,,,,,,,,,,,,PG-F3,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,0.0,0.0,0.0,,,
,,,,,,,,,,,,,,,,,,,CORRUPCION,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,PG-F4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,30,,,,,,
,,,,,,,,,,,,,,,,,,,AMBITO,,,,,,,,,,,,,,,,,,,,,,,,,PG-F5,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,
1000,,,,,,,,,,,,,1697.5,1512.5,1584.5,,,,B0,,,,,,,,,,,,,,,,,,,1.5,0.5,1.0,,,,PG-P1,,,,,,,,,,,,,,,,4.53873974995804,3.9981037500256207,4.1135312499827705,6.041353125008754,4.801253849998465,4.979904074981459,6.597669375039113,5.198483464996681,5.9044512500124995,,,,,,,A,,,,,,,,,,37.0,33.0,34.5,1000.0,1000.0,1000.0,30,,,,,,
1000,,,,,,,,,,,,,1697.5,1512.5,1584.5,,,,B1,,,,,,,,,,,,,,,,,,,1.5,0.5,1.0,,,,PG-P1,,,,,,,,,,,,,,,,4.945572750017163,3.8335415000328794,4.046197749994462,6.972975949998362,4.661830175004432,5.461876374999699,7.549625875012135,5.176698680027039,6.0293574299576,,,,,,,A,,,,,,,,,,37.0,33.0,34.5,37.0,33.0,34.5,30,,,,,,
1000,,,,,,,,,,,,,1697.5,1512.5,1584.5,,,,C1,,,,,,,,,,,,,,,,,,,1.5,0.5,1.0,,,,PG-P1,,,,,,,,,,,,,,,,4.108510250021936,3.471114750020206,3.6508019999891985,5.931357200007186,4.601281175011536,4.9624698499450455,6.8438196949800485,4.91352080499928,6.022025909984369,,,,,,,A,,,,,,,,,,37.0,33.0,34.5,37.0,33.0,34.5,30,,,,,,
10000,,,,,,,,,,,,,15445.0,15044.5,15283.0,,,,B0,,,,,,,,,,,,,,,,,,,1.5,0.5,1.0,,,,PG-P1,,,,,,,,,,,,,,,,17.160896000044886,15.777218499977607,16.32709349997458,19.921378050008208,17.981171800033188,18.546935524974828,20.815732229965505,18.895699000029126,19.99240127000958,,,,,,,A,,,,,,,,,,336.5,328.0,333.0,10000.0,10000.0,10000.0,30,,,,,,
10000,,,,,,,,,,,,,15445.0,15044.5,15283.0,,,,B1,,,,,,,,,,,,,,,,,,,1.5,0.5,1.0,,,,PG-P1,,,,,,,,,,,,,,,,7.202239749982255,6.931916749977972,7.018624999967869,8.952532199944834,8.038735374977113,8.297967799968319,9.528215929981089,8.582971035009832,8.791360374985961,,,,,,,A,,,,,,,,,,336.5,328.0,333.0,336.5,328.0,333.0,30,,,,,,
10000,,,,,,,,,,,,,15445.0,15044.5,15283.0,,,,C1,,,,,,,,,,,,,,,,,,,1.5,0.5,1.0,,,,PG-P1,,,,,,,,,,,,,,,,6.285718500002986,5.730708500021137,5.944874999986496,7.5707803750003215,6.894837649990221,7.176388524990761,8.768396695021657,7.416139020006522,8.1717241950467,,,,,,,A,,,,,,,,,,336.5,328.0,333.0,336.5,328.0,333.0,30,,,,,,
50000,,,,,,,,,,,,,76771.5,75184.0,75846.0,,,,B0,,,,,,,,,,,,,,,,,,,1.5,0.5,1.0,,,,PG-P1,,,,,,,,,,,,,,,,78.3948647500074,69.72949999998673,71.74095850004232,107.52424245001166,84.4090542749647,90.23356155002838,143.98233078999564,91.36794024998031,110.69598613995535,,,,,,,A,,,,,,,,,,1673.0,1638.5,1653.0,50000.0,50000.0,50000.0,30,,,,,,
50000,,,,,,,,,,,,,76771.5,75184.0,75846.0,,,,B1,,,,,,,,,,,,,,,,,,,1.5,0.5,1.0,,,,PG-P1,,,,,,,,,,,,,,,,26.099104249995435,22.250552250014152,23.765416500042193,34.08133754999726,26.51297900000063,29.27137499998789,36.57748577002436,29.804550714963703,33.69916828499176,,,,,,,A,,,,,,,,,,1673.0,1638.5,1653.0,1673.0,1638.5,1653.0,30,,,,,,
50000,,,,,,,,,,,,,76771.5,75184.0,75846.0,,,,C1,,,,,,,,,,,,,,,,,,,1.5,0.5,1.0,,,,PG-P1,,,,,,,,,,,,,,,,22.458437499968568,18.865281000034884,20.17860399998608,32.98154074999037,23.246159499979687,27.071011125014042,51.6037720899418,26.736130770014135,34.02513761003152,,,,,,,A,,,,,,,,,,1673.0,1638.5,1653.0,1673.0,1638.5,1653.0,30,,,,,,
1000,,,,,,,,,,,,,1697.5,1512.5,1584.5,,,,B0,,,,,,,,,,,,,,,,,,,1.5,0.5,1.0,,,,PG-P1,,,,,,,,,,,,,,,,4.970562750007957,4.209020500013139,4.623885250010062,6.612563724984646,5.1596135249623325,5.806797625025501,7.675620124978014,5.458741160018835,6.817305930007716,,,,,,,B,,,,,,,,,,37.0,33.0,34.5,1000.0,1000.0,1000.0,30,,,,,,
1000,,,,,,,,,,,,,1697.5,1512.5,1584.5,,,,B1,,,,,,,,,,,,,,,,,,,1.5,0.5,1.0,,,,PG-P1,,,,,,,,,,,,,,,,4.457103999971878,3.8478849999955855,3.949291499971878,6.1601311250240505,4.76784040001221,5.214424925012281,7.4697340700193315,5.277309999962454,6.559354069971597,,,,,,,B,,,,,,,,,,37.0,33.0,34.5,37.0,33.0,34.5,30,,,,,,
1000,,,,,,,,,,,,,1697.5,1512.5,1584.5,,,,C1,,,,,,,,,,,,,,,,,,,1.5,0.5,1.0,,,,PG-P1,,,,,,,,,,,,,,,,4.275937500002328,3.541114750027191,3.7249585000099614,6.2476335000392265,4.842764600046211,5.084909574934864,7.098615644999082,5.0353699649916965,6.021403409960332,,,,,,,B,,,,,,,,,,37.0,33.0,34.5,37.0,33.0,34.5,30,,,,,,
